Professor,Class,Modality ,Enrollment,Dropped
A,Discrete,Online,36,8
A,Statistics ,Online ,46,19
A,Calc 1,Online,48,18
A,Linear Algebra,Online ,55,24
B,Statistics ,In-Person,40,12
B,Statistics ,In-Person,35,11
B,Calc 2 ,In-Person,32,3
